,date,text,sentiment
Background information on the  bank note legal tender initiative in Budget 2018,2018-02-27,"bank canada today published additional information federal government budget initiative seek authority remove legal tender status canadian bank notes authority remove legal tender status bank notes would match authority government currently coins issued royal canadian mint bank canada supports initiative help bank ensure bank notes used canadians current good condition easy use difficult counterfeit stated budget power granted parliament government intention remove legal tender status 1,000 bank",-0.027991839
Wilfrid Laurier University crowned National Champion of The Governor’s Challenge,2018-02-12,wilfrid laurier university bank canada third annual governor challenge national student competition teams simulate role advisor bank governing council winners announced following final round ottawa saturday february governor stephen s. poloz watched final round presentations awarded championship trophy congratulated laurier encouraged participants keep interest monetary policy-making process economic analysis understanding monetary policy appreciation canadian economy demonstrated young people h,0.15859948
Bank of Canada increases overnight rate target to 1 1/4 per cent,2018-01-17,bank canada today increased target overnight rate 1/4 per cent bank rate correspondingly 1/2 per cent deposit rate per cent recent data strong inflation close target economy operating roughly capacity however uncertainty surrounding future north american free trade agreement nafta clouding economic outlook global economy continues strengthen growth expected average 1/2 per cent projection horizon growth advanced economies projected stronger bank october monetary policy report mpr particular sign,0.61554694
Bank of Canada announces 2017–18 scholarship recipients,2018-01-10,bank canada pleased announce year recipients scholarship work placement program indigenous students students disabilities program reflects bank commitment diversity people ideas disciplines encouraging young canadians consider employment fields related work central bank assisting furthering education four successful applicants 2017–18 follows bank committed supporting students wide range backgrounds education pursue goals said governor stephen s. poloz congratulate year winners look forward fres,0.2063316
Bank of Canada maintains overnight rate target at 1 per cent,2010-10-19,bank canada today announced maintaining target overnight rate per cent bank rate correspondingly 1/4 per cent deposit rate 3/4 per cent global economic recovery entering new phase advanced economies temporary factors supporting growth inventory cycle pent-up demand largely run course fiscal stimulus shift fiscal consolidation projection horizon bank expects private demand advanced economies become sufficiently entrenched sustain recovery combination difficult labour market dynamics ongoing delev,0.09757209
Bank of Canada announces finalists for the third annual Governor’s Challenge,2017-11-29,bank canada today announced finalists 2017–18 edition governor challenge competition university students simulate role advisor bank governing council five teams vying title national champion represent following universities governor stephen s. poloz congratulated finalists thanked students professors participated year third year competition continue impressed ingenuity students across country governor said monetary policy-making evolving real time competition shown bright future comes tackling t,0.5311963
"Vulnerabilities in the Canadian financial system remain elevated, but elements for improvement are emerging",2017-11-28,high level household indebtedness housing market imbalances remain important vulnerabilities identified bank canada financial system review fsr published today vulnerabilities still elevated improving economic conditions recent changes housing policy support easing vulnerabilities time financial system continues resilient bolstered stronger growth job creation need continue watch financial vulnerabilities closely said governor stephen s. poloz household debt relative income continues rise notabl,0.8488526
Bank of Canada and Bank of Korea sign currency swap agreement,2017-11-15,bank canada bank korea today announced standing bilateral liquidity swap arrangement effective immediately arrangement allows provision liquidity jurisdiction support domestic financial stability market conditions warrant effectively enables bank canada provide canadian dollars bank korea provide liquidity korean financial institutions canada need arise likewise bank korea provide korean bank canada well provide liquidity canadian dollars financial institutions korea governor stephen s. poloz go,0.6465327
Statement on the Nomination of a New Federal Reserve Chair,2017-11-03,bank canada congratulates jerome powell nomination new chair board governors federal reserve system bank worked mr. powell capacity member federal reserve board look forward continuing close working relationship enjoyed two institutions bank honoured work chair janet yellen grateful many years service board consistent demonstration leadership integrity collaboration among international policy-making community ,0.6035356
Bank of Canada calls for nominations for the 2018 Fellowship Program awards,2017-09-08,bank canada inviting canadian universities nominate exceptional academics fellowship governor awards presented annually awards distinguish support work academics making exemplary contributions economic financial research canada issues related central banking extend beyond traditional monetary policy theory fellowship program designed foster research excellence broad range fields related bank core functions monetary policy financial system currency funds management program also supports collabora,0.1655266
Bank of Canada increases overnight rate target to 1 per cent,2010-09-08,bank canada today announced raising target overnight rate one-quarter one percentage point per cent bank rate correspondingly 1/4 per cent deposit rate 3/4 per cent global economic recovery proceeding remains uneven balancing strong activity emerging market economies weak growth advanced economies united states recovery private demand held back high unemployment recent indicators suggest muted recovery near term economic activity canada slightly softer second quarter bank expected although consu,-0.2152313
Bank of Canada publishes its 2018 schedule for policy interest rate announcements and the release of the Monetary Policy Report,2017-07-26,bank canada today published schedule policy interest rate announcements release quarterly monetary policy report also reconfirmed scheduled announcement dates remainder year scheduled announcement dates september december reconfirmed follows scheduled announcement dates follows monetary policy report published rate announcements made 10:00 et monetary policy report published concurrently january april july october rate announcements ,-0.08447608
Bank of Canada increases overnight rate target to 3/4 per cent,2010-07-20,bank canada today announced raising target overnight rate one-quarter one percentage point 3/4 per cent bank rate correspondingly per cent deposit rate 1/2 per cent global economic recovery proceeding yet self-sustaining greater emphasis balance sheet repair households banks governments number advanced economies expected temper pace global growth relative bank 's outlook april monetary policy report mpr policy response european sovereign debt crisis reduced risk adverse outcome increased prospec,0.593141
"Governor Poloz unveils new Bank of Canada Museum ahead of public opening on July 1, 2017",2017-06-20,governor stephen s. poloz today welcomed special guests government business tourism sectors preview bank canada museum opening soon located corner bank wellington bank head office complex downtown ottawa re-designed museum help visitors learn economy role central bank fun interactive ways proud new museum immerses canadians economy work bank canada ways people ages understand enjoy governor poloz said four-year closure complete re-imagining museum open public july free admission year-round help ,0.06869142
"Household vulnerabilities have moved higher, but the financial system remains resilient",2017-06-08,household indebtedness housing market imbalances—the important vulnerabilities canadian financial system—have moved higher past six months bank canada said today financial system review fsr however financial system remains resilient macroeconomic conditions continue improve said governor stephen s. poloz household indebtedness continued rise canada driven large part growth mortgage lending toronto vancouver areas recent federal government measures improving credit quality insured mortgage market,0.8976271
Bank of Canada issues commemorative $10 bank note to mark the 150th anniversary of Confederation,2017-06-01,bank canada today began circulating commemorative bank note celebrates 150th anniversary confederation canadians obtain special note financial institutions million notes issued—roughly one every canadian governor stephen s. poloz among first spend commemorative note store downtown ottawa morning bank note reflects pride feel country accomplishments hope future said governor poloz also underpins confidence canadians bank notes new security features note make secure canadian bank note date new sec,0.14843741
Bank of Canada maintains overnight rate target at 1/2 per cent,2015-09-09,bank canada today announced maintaining target overnight rate 1/2 per cent bank rate correspondingly 3/4 per cent deposit rate 1/4 per cent inflation evolved line outlook bank july monetary policy report mpr total cpi inflation remains near bottom target range reflecting year-over-year price declines consumer energy products core inflation close per cent disinflationary pressures economic slack offset transitory effects past depreciation canadian dollar sector-specific factors dynamics gdp growt,-0.88598794
Bank of Canada unveils commemorative bank note to celebrate Canada’s 150th anniversary of Confederation,2017-04-07,bank canada governor stephen s. poloz parliamentary secretary minister finance ginette petitpas taylor today unveiled commemorative bank note celebrating 150th anniversary confederation special note—showcasing history land culture—was revealed ceremony bank head office ottawa enter circulation june bank note intended captivate imagination instill pride nation accomplished said governor poloz celebrates natural beauty majesty land important parliamentarians helped shape great country intricately ,0.28400582
Bank of Canada announces recipients of 2017 Fellowship and Governor’s awards,2017-03-30,bank canada pleased announce professor francisco ruge-murcia mcgill university recipient bank fellowship award professor ruge-murcia renowned scholar fields monetary economics macroeconomics current research focuses implications extreme events monetary policy financial markets well central bank decision making communication pleased recognize year fellowship award professor ruge-murcia remarkable capacity bringing state-of-the-art research methods bear topics direct interest bank said governor st,0.21038306
The Bank of Canada Releases Its Annual Report for 2016,2017-03-23,bank canada annual report tabled house commons today report available 12:00 et bank website information please contact 613-782-8782 ,-0.016785717
Bank of Canada announces 2016-2017 scholarship recipients,2017-03-14,bank canada today announced winners scholarship work placement program designed assist indigenous students students disabilities furthering education program reflects bank commitment diversity people ideas disciplines encourages young canadians consider employment fields related work central bank four successful applicants 2016-2017 follows diverse perspectives skills talents needed help canada adjust demands ever-evolving economy said governor stephen s. poloz look forward seeing students help ,0.6642349
Bank of Canada begins publishing new foreign exchange rate data,2017-03-01,bank canada today began publishing new data foreign exchange fx rate currencies intended statistical analytical informational purposes previously announced new fx rates published day 16:30 eastern time et form single indicative rate per currency pair represents daily average rate currency canadian dollar allow time users bank fx rates make necessary adjustments bank continue publish existing fx rates alongside new fx rates march april means period following continue posted usual times noon closi,0.0003964901
Bank of Canada announces winners of the second edition of The Governor’s Challenge,2017-02-06,bank canada today announced team mcgill university second annual governor challenge student competition teams simulate role advisor bank policy-makers final round monetary policy competition held bank head office ottawa saturday february governor stephen s. poloz awarded trophy winners governor congratulated participants said hoped contest would inspire work bank canada elsewhere public service strongly believe working improve country noble calling encourage many possible consider career teams e,0.2483465
"Risks to financial stability largely unchanged, household vulnerabilities remain key concern",2016-12-15,overall level risk canada financial system remains largely unchanged six months ago bank canada said today financial system review fsr bank continues highlight two key vulnerabilities related canadian households high levels indebtedness housing market imbalances third ongoing vulnerability potential fragility fixed-income market liquidity nonetheless canadian financial system remains resilient nation economy improves financial reforms canada worldwide progress since june proportion highly indebt,0.32024965
Bank of Canada announces details of forthcoming changes to its published foreign exchange rate data,2016-12-01,bank canada today announced final list foreign currency exchange rates continue publish march bank also released new calculation methodology used rates currencies published effective march alphabetical order list currencies captures vast majority foreign exchange transactions conducted canadian dollar reflects combination top currencies trading volume based bank international settlements triennial fx turnover survey canada top trading partners based statistics canada international merchandise tr,0.009000156
Bank of Canada announces finalists for the second annual Governor’s Challenge,2016-11-25,note editors press release revised reflect new date final round governor challenge february bank canada today announced finalists 2016–17 edition governor challenge student competition teams simulate role advisor bank governing council among competitors five teams compete title governor challenge national champion finalists represent following universities working teams students analyze forecast developments economy present monetary policy recommendation keep inflation low stable line inflation ,0.013206184
"#bankNOTEable Canadian woman will be revealed on 8 December, Bank of Canada publishes short list of five",2016-11-24,"thursday december minister finance governor bank canada reveal iconic canadian woman featured next regularly circulating bank note expected advance announcement bank today published short list banknoteable woman chosen independent advisory council short-listed five iconic canadian women earlier year consideration minister finance alphabetical order women selected eligible nominees submitted canadians open call nominations launched prime minister justin trudeau international women day march 26,30",0.0042201523
Joint Statement of the Government of Canada and the Bank of Canada on the Renewal of the Inflation-Control Target,2006-11-23,primary objective canada 's monetary policy enhance well-being canadians contributing sustained economic growth rising levels employment improved living standards experience clearly shown best way monetary policy achieve goal giving canadian households businesses confidence value money years since canada adopted inflation-targeting framework guide monetary policy time consumer price index cpi inflation reduced low stable predictable level close per cent real output expanded average rate per cent,0.35787195
Bank of Canada Calls for Nominations for the 2017 Fellowship and Governor’s Awards,2016-09-28,bank canada calling nominations fellowship program program provides monetary awards foster excellence economic financial research canada supports bank development partnerships leading experts canadian universities invited nominate exceptional academics one two prestigious research awards available program fellowship award governor award bank canada promotes economic financial welfare canada activities four main areas monetary policy currency financial system funds management financial crisis aft,0.037889495
Triennial Central Bank Survey of Foreign Exchange and Derivatives Market Activity in Canada during April 2016,2016-09-01,month april bank canada central banks monetary authorities conducted latest survey turnover activity foreign exchange over-the-counter otc derivatives markets respective countries worldwide effort coordinated bank international settlements bis undertaken every three years purpose survey obtain global comprehensive consistent information size structure foreign exchange otc derivatives markets data collected increase market transparency help central banks market participants others better understa,0.30049142
Bank of Canada recognizes Saskatoon Police Service with Counterfeit Deterrence award,2016-08-16,bank canada today presented three members saskatoon police service sps economic crime section law enforcement award excellence counterfeit deterrence award presented since recognizes outstanding achievements criminal justice professionals educators involved prevention deterrence bank note counterfeiting canada year recipients exemplified collaborative policing teamwork sound investigative techniques diligent intelligence gathering police officers able quickly secure evidence lay number charges o,0.26827732
Bank of Canada publishes 2017 schedule for policy interest rate announcements and release of the Monetary Policy Report,2016-07-26,bank canada today published schedule key dates policy interest rate announcements release quarterly monetary policy report reconfirmed scheduled announcement dates remainder year scheduled announcement dates september december reconfirmed follows scheduled announcement dates following monetary policy report published rate announcements made 10:00 et monetary policy report continue published concurrently january april july october rate announcements ,-0.07797456
"Overall risks to financial stability are largely unchanged, but household vulnerabilities have moved higher",2016-06-09,overall level risk canada financial system largely unchanged six months ago bank canada said today biannual financial system review fsr household vulnerabilities moved higher ongoing economic recovery canada means overall risk remains canadian financial system resilient functioning effectively bank continues highlight two vulnerabilities related canadian households elevated level household indebtedness imbalances regional housing markets third vulnerability identified fragility fixed-income mark,-0.6929482
"Monetary/fiscal policy mix has implications for debt and financial stability, Governor Poloz says",2016-06-04,mix monetary fiscal policies economy important implications debt levels financial stability medium term bank canada governor stephen s. poloz said today doug purvis memorial lecture given canadian economics association annual conference governor poloz used bank main policy model construct three counterfactual scenarios events past years show different policy mixes influence amount debt taken private public sectors tight monetary policy easy fiscal policy may lead growth inflation results easy mo,0.015241399
Bank of Canada announces appointment of Advisor in New York Office,2016-05-26,bank canada today announced appointment sheryl king advisor governor representing bank new york office effective july reporting deputy governor lynn patterson working closely consulate general canada new york ms. king promote strengthen ties bank canada new york financial economic communities emphasis financial market financial stability developments also serve member bank monetary policy review financial system review committees delighted welcome sheryl king back bank senior management team sai,0.061723348
Bank of Canada designates Automated Clearing Settlement System under the Payment Clearing and Settlement Act,2016-05-02,governor bank canada designated effective may automated clearing settlement system acss oversight payment clearing settlement act pcsa clearing settlement system potential pose payments system risk acss owned operated canadian payments association cpa organization established canadian payments act operate national payment systems acss designated following expansion bank oversight responsibilities december include systems potential pose payments system risk referred prominent payment systems disr,0.0039340463
Independent Advisory Council announces candidates for the 2018 bank note featuring an iconic Canadian woman,2016-04-29,bank canada today announced bank note independent advisory council narrowed names list iconic canadian women could featured first bank note next series prominent canadian women selected submissions received public follows alphabetical order advisory council issued statement explaining criteria principles governing selection process indicating nominees broken overcome barriers made significant change left lasting legacy inspirational women appear list resonate canadians reflect diversity canada a,0.040421277
Bank of Canada announces recipients of 2016 Fellowship and Governor’s awards,2016-04-15,bank canada pleased announce professor daniel trefler rotman school management university toronto professor francesco trebbi university british columbia vancouver school economics recipients bank fellowship award bank canada also pleased present year governor award associate professor liyan yang also rotman school management professor trefler internationally respected trade economist known contributions public policy formation canada current research focuses domestic international levers promoti,0.070857935
Bank of Canada announces members of  2018 bank note Advisory Council,2016-04-04,"governor bank canada stephen s. poloz senior deputy governor carolyn wilkins today announced members independent advisory council develop short list iconic canadian women could featured first bank note next series advisory council review results open call nominations continues april yielded 18,000 submissions date submissions council develop short list candidates governor consult minister finance short list minister make final decision accordance bank canada act members advisory council council ",-0.0060587805
The Bank of Canada Releases Its Annual Report for 2015,2016-03-24,bank canada annual report tabled house commons today report available 12:00 et bank website information please contact 782-8782 ,-0.013118673
Bank of Canada launches public consultation to select Canadian woman to be on next series bank note,2016-03-08,announced today prime minister justin trudeau minister finance bill morneau bank canada undertaking broad public consultation select iconic canadian woman featured first bank note next series new note issued country 's nearly year history women notable exception queen largely unrepresented bank notes said minister morneau bring real change new generation women carry constant reminders canada future celebrated part history bank inviting public nominate women feel deserving recognition delighted i,0.1700367
Bank of Canada Announces Future Changes to its Published Foreign Exchange Rate Data,2016-02-16,"bank canada today announced effective march make series changes number frequency calculation methodology published foreign exchange fx rates although changes come effect bank notifying public allow ample time users rates make adjustments may required changes changes reinforce distinction fx rate fixings used benchmarks transactional purposes bank canada exchange rates provided public good statistical analytical informational purposes implemented broad public consultation including almost 17,000 ",0.05248581
Bank of Canada announces winners of The Governor’s Challenge student competition,2016-02-16,bank canada today announced winners governor challenge new student competition teams simulate role advisor bank governing council team mcgill university earned title national champion performance final round competition bank head office ottawa saturday february awarding governor challenge trophy winners governor stephen s. poloz told finalists inaugural competition tremendous success clear great set presentations developed deeper understanding canadian economy bank canada role acquired invaluabl,0.57601535
Bank of Canada Announces 2016 Scholarship Recipients,2016-02-12,"bank canada today announced inaugural winners student scholarship work placement program four successful applicants follows student awarded scholarship 4,000 per year tuition costs renewable four years also opportunity participate paid summer part-time work placement bank canada undergraduate post-graduate students enrolled full-time canadian academic institution eligible apply become increasingly clear solving policy challenges tomorrow requires diverse innovative points view new ways thinking ",0.1988982
Governor Stephen S. Poloz appointed Chair of the BIS Consultative Council for the Americas,2016-01-08,board directors bank international settlements bis appointed stephen s. poloz governor bank canada chair bis consultative council americas cca appointment term two years effective january announcement available bis website information please contact 613-782-8782 ,-0.014173225
"Expect policy divergence as economies adjust to shocks, Governor Poloz says",2016-01-07,diverging monetary policies natural consequence large declines resource prices expected bank canada governor stephen s. poloz said speech today mayor breakfast series ottawa last month interest rate increase u.s. federal reserve first step long process toward normalizing monetary policy united states governor said implications canada financial markets bank canada well equipped respond number tools disposal—both conventional unconventional—to mitigate risks inflation target financial system arise,0.35136652
"Bank of Canada says housing vulnerabilities have edged higher, but financial system remains resilient",2015-12-15,vulnerabilities housing sector edged higher bank canada said today financial system review fsr overall level risk canada financial system remained roughly unchanged since june bank continues identify two key vulnerabilities related canadian household sector elevated level household indebtedness imbalances housing market third vulnerability relates uncertain market liquidity fixed-income markets nonetheless bank believes canadian financial system resilient global financial system made safer imple,0.6337888
"Bank of Canada introduces The Governor’s Challenge, a new student competition",2015-12-04,bank canada today announced new student competition—the governor challenge—where teams simulate role monetary policy advisor bank 's governing council undergraduates universities across canada taking part 2015–16 competition inaugural year working teams students analyze forecast developments canadian economy develop monetary policy recommendation present work recommendation panel bank canada judges evaluate teams substance analysis quality presentation evidence strong teamwork competition takes ,0.6066955
Deputy Governor Agathe Côté to retire from the Bank of Canada,2015-10-26,bank canada announced today deputy governor agathe côté retire end january agathe côté appointed deputy governor bank canada july responsibility overseeing bank analysis domestic economic developments support monetary policy decisions member bank governing council shared responsibility decisions respect monetary policy financial system stability setting strategic direction bank ms. côté joined bank economist international department later department monetary financial analysis career bank served,0.025356947
Bank of Canada Calls for Nominations for the 2016 Fellowship and Governor’s Awards,2015-09-25,bank canada calling nominations fellowship program program fosters excellence economic financial research canada develops partnerships experts outside bank canadian universities invited nominate exceptional academics two prestigious research awards available program fellowship award governor award bank canada promotes economic financial welfare canada activities four main areas monetary policy currency financial system funds management recent experience financial crisis aftermath shown issues re,0.06267166
Bank of Canada Unveils and Issues Commemorative $20 Bank Note,2015-09-09,official ceremony rideau hall bank canada today unveiled issued special commemorative bank note honouring majesty queen elizabeth ii day elizabeth ii reign exceeds great-great-grandmother queen victoria making majesty longest-reigning sovereign canada modern era commemorative bank note variation existing polymer bank note already features portrait queen elizabeth ii new note identical current note one distinct difference large window contains range special design elements including portrait maje,0.08654086
Bank of Canada Announces the Recipient of its 2015 Law Enforcement Award of Excellence for Counterfeit Deterrence,2015-08-18,bank canada pleased announce recipient law enforcement award excellence counterfeit deterrence award presented since recognizes outstanding achievements criminal justice professionals educators involved prevention deterrence bank note counterfeiting canada year recipient detective bill allen edmonton police service presenting award michael duncan justice system specialist bank currency department remarked detective allen passionate work counterfeit deterrence made tremendous contributions invest,0.65443873
Bank of Canada Publishes 2016 Schedule for Policy Interest Rate Announcements and Release of the Monetary Policy Report,2015-07-27,bank canada today published schedule key dates policy interest rate announcements release quarterly monetary policy report reconfirmed scheduled announcement dates remainder year scheduled announcement dates september december reconfirmed follows scheduled announcement dates following monetary policy report published rate announcements made 10:00 et monetary policy report continue published concurrently january april july october rate announcements ,-0.07797456
Bank of Canada lowers overnight rate target to 1/2 per cent,2015-07-15,bank canada today announced lowering target overnight rate one-quarter one percentage point 1/2 per cent bank rate correspondingly 3/4 per cent deposit rate 1/4 per cent total cpi inflation canada around per cent recent months reflecting year-over-year price declines consumer energy products core inflation close per cent disinflationary pressures economic slack offset transitory effects past depreciation canadian dollar sector-specific factors setting aside transitory effects bank judges underly,-0.85883695
"Bank of Canada says risk to financial stability is slightly higher, but system is more resilient",2015-06-11,overall risk financial stability canada risen face lower oil prices resilience system continues improve bank canada said today released biannualfinancial system review fsr fsr intended raise awareness key vulnerabilities possible triggers risks financial system bank assessment low probability risks identified fsr materialize policies regulations place promote strength soundness canadian financial system elevated household indebtedness remains important vulnerability financial system time decembe,0.3371227
Bank of Canada maintains overnight rate target at 3/4 per cent,2015-03-04,bank canada today announced maintaining target overnight rate 3/4 per cent bank rate correspondingly per cent deposit rate 1/2 per cent total cpi inflation canada fallen expected reflecting significant drop oil prices core inflation remains close per cent continues temporarily boosted pass-through effects lower canadian dollar well sector-specific factors global economy evolving broadly line projections bank january monetary policy report mpr united states remains main source momentum global eco,-0.31953305
Bank of Canada Announces Recipient of 2015 Governor’s Award,2015-03-30,bank canada today announced professor matilde bombardini university british columbia vancouver school economics recipient governor award professor bombardini widely recognized one best young trade economists canada research interests include fields international trade political economy current research explores impact international free trade efficient matching workers firms investigates relationship canadian importing firms foreign suppliers implications productivity also conducting ongoing emp,0.025421346
The Bank of Canada Releases Its Annual Report for 2014,2015-03-27,bank canada annual report tabled house commons today report available 12:00 et bank website information please contact 782-8782 ,-0.013118673
"Economy Has Room to Grow, Says Senior Deputy Governor Carolyn Wilkins",2015-02-10,canadian economy still room grow sharp drop oil prices setback bank canada senior deputy governor carolyn wilkins said ottawa today adding monetary policy support needed adjustments bank assesses underlying inflation pressures canadian economy critical consider broad range indicators including go beyond headline unemployment rate ms. wilkins said given destructive recession canada experienced measures economic slack focus labour market show greater unused capacity broader measures understanding ,0.09373212
Bank of Canada lowers overnight rate target to 3/4 per cent,2015-01-21,bank canada today announced lowering target overnight rate one-quarter one percentage point 3/4 per cent bank rate correspondingly per cent deposit rate 1/2 per cent decision response recent sharp drop oil prices negative growth underlying inflation canada inflation remained close per cent target recent quarters core inflation temporarily boosted sector-specific factors pass-through effects lower canadian dollar offsetting disinflationary pressures slack economy competition retail sector total c,-0.74271464
Bank of Canada publishes results of consultation on bank note design principles,2014-12-16,"bank canada today published summary comments received online consultation principles guiding design country bank notes consultation took place october november offered canadians unprecedented opportunity participate design future bank note series sharing views bank principles bank note design summary comments prepared pollara strategic insights available bank website nearly 2,000 canadians participated per cent said support principles bank put forward considerable interest bank notes reflect can",0.16583043
Bank of Canada says household imbalances remain most important risk to financial stability,2014-12-10,risks canada financial system increased past six months high consumer debt loads imbalances housing market remain concern bank canada said today itsbiannual financial system review fsr judge probability adverse shock eased since june fsr said governor stephen s. poloz mitigates observation financial vulnerabilities appear edging higher leaving overall assessment financial stability risk roughly june fsr highlights risks important remember global regulatory reform continues enhance financial resi,0.8255872
Bank of Canada invites Canadians to propose design ideas for a bank note marking Canada’s 150th anniversary,2014-12-05,bank canada inviting canadians propose ideas design new bank note celebrate 150th anniversary confederation announced earlier minister finance joe oliver commemorative bank note broadly available july details denomination number notes circulate means obtain made public closer issue date canadians contribute special anniversary project visiting dedicated webpage providing ideas would best represent canada 150th well best depicted images commemorative bank note survey run january bank consulting p,0.04534155
Bank of Canada announces signing of reciprocal 3-year Canadian- dollar/renminbi bilateral swap arrangement,2014-11-08,part initiative announced today government canada promote increased trade investment canada china well support domestic financial stability market conditions warrant governor stephen s. poloz governor zhou xiaochuan people bank china signed agreement establishing reciprocal 3-year canadian-dollar /renminbi rmb currency swap line maximum value swap rmb billion reciprocal maximum value billon bank canada also signed memorandum understanding people bank china establish regular dialogue conduct renm,0.86600965
Bank of Canada invites Canadians to comment  on bank note design principles,2014-10-08,bank canada today announced inviting canadians comment principles guide design country bank notes consultation take place november way canadians contribute unprecedented way design future bank note series canadians participate online survey visiting principles bank note design web page bank publish summary comments received end year consultation stems review bank conducted process used select develop design visual content polymer series bank notes review concluded canadians increased participati,0.056676924
Bank of Canada Calls for Nominations for the 2015 Fellowship and Governor’s Awards,2014-09-19,bank canada calling nominations fellowship program program fosters excellence research canada develops partnerships experts outside bank canadian universities invited nominate exceptional academics two prestigious research awards available program fellowship award governor award bank canada promotes economic financial welfare canada activities four main areas monetary policy currency financial system funds management recent experience financial crisis aftermath shown issues related central banki,0.047989078
Bank of Canada Announces the Recipient of its 2014 Law Enforcement Award of Excellence for Counterfeit Deterrence,2014-08-26,bank canada pleased announce recipient law enforcement award excellence counterfeit deterrence award established recognize work canadians field law enforcement deterring preventing counterfeiting canada bank notes year bank honouring mr. bruce macdonald remarkable personal initiative developing delivering effective anti-counterfeiting prevention program criminal justice students instructor lethbridge college school justice studies program mr. macdonald provides strong foundation students across ,0.70007634
Bank of Canada Publishes 2015 Schedule for Policy Interest Rate Announcements and Release of the Monetary Policy Report,2014-07-29,bank canada today published schedule key dates policy interest rate announcements release quarterly monetary policy report reconfirmed scheduled announcement dates remainder year scheduled announcement dates september december reconfirmed scheduled announcement dates monetary policy report published rate announcements made 10:00 et monetary policy report continue published concurrently january april july october rate announcements ,-0.06650456
"Bank of Canada’s enhanced financial stability framework shows system is robust, housing vulnerabilities remain",2014-06-12,bank canada today unveiled enhanced framework gauge evolving risks financial stability semi-annual financial system review fsr finding canadian financial system robust still faces significant vulnerabilities weighing risks financial stability improved framework level comfort policy makers remains roughly six months ago said governor stephen s. poloz analysis shows household imbalances remain important vulnerability could amplify impact external shocks new fsr framework identifies important vulne,0.8413625
Bank of Canada announces appointment of Lynn Patterson as Deputy Governor,2014-04-30,board directors bank canada today announced appointment lynn k. patterson deputy governor effective may ms. patterson appointment fills vacancy created retirement may deputy governor john murray deputy governor ms. patterson join bank governing council policy-making body bank lynn extensive market experience understanding financial sector issues make terrific addition governing council said governor stephen s. poloz lynn joins exceptional team leaders whose expertise helps bank perform functions,0.24511163
Bank of Canada announces appointment of Carolyn Wilkins as Senior Deputy Governor,2014-04-11,board directors bank canada today announced carolyn wilkins appointed senior deputy governor term seven years beginning may selection made independent members bank board approved federal cabinet ms. wilkins joined bank currently adviser governor stephen s. poloz capacity responsible overseeing bank policy research work canadian economy interaction financial system monetary policy also serves secretary bank governing council leads preparation bank quarterly monetary policy reports ms. wilkins rep,0.0094159115
Bank of Canada announces appointment of Filipe Dinis as Chief Operating Officer,2014-04-07,bank canada today announced filipe dinis appointed chief operating officer coo effective may bank first coo mr. dinis responsible managing bank administrative functions include oversight corporate administration departments operational planning mr. dinis joins bank federal privy council office assistant secretary cabinet provides strategic advice analysis clerk privy council business transformation public service renewal also serves secretary prime minister advisory committee public service prio,-0.004958287
Bank of Canada Announces Recipients of 2014 Fellowship and Governor’s Awards,2014-03-28,bank canada today announced professor thomas lemieux university british columbia vancouver school economics recipient bank fellowship award professor lemieux recognized internationally influential labour economist current research focuses exploiting regional variation within countries answer number important questions connected unemployment evolution wage inequality bank canada delighted present fellowship award professor lemieux truly creative researcher world leader study labour markets wage i,0.19011079
The Bank of Canada Releases Its Annual Report for 2013,2014-03-28,bank canada annual report tabled house commons today report available 12:00 et bank 's website note information please contact 782-8782 ,-0.00960217
Bank of Canada Announces Appointment of Special Adviser,2002-06-12,bank canada today announced appointment andrew spence visiting economist position special adviser one-year term mr. spence taking leave current position global head currency credit markets research td securities september position created bring bank canada additional views monetary policy issues increase number university private sector economists first-hand knowledge institution mr. spence provide bank insights respect financial markets financial system stability previous special advisers profe,0.03466656
Deputy Governor John Murray to Retire from the Bank of Canada,2013-12-23,bank canada announced today deputy governor john murray retire april john murray joined bank appointed deputy governor january capacity responsible overseeing bank analysis domestic international economic developments colleagues bank 's governing council conduct monetary policy career bank mr. murray played significant role establishing theoretical foundations inflation targeting helping refine way implemented also instrumental forming bank views international issues communicating forums g7 g20 ,0.1302412
Senior Deputy Governor Tiff Macklem will leave the Bank in May 2014,2013-12-05,senior deputy governor tiff macklem announced resign bank canada next spring become dean university toronto rotman school management mr. macklem began career bank appointed senior deputy governor july term seven years leave bank may assume new role rotman july term five years senior deputy governor mr. macklem bank 's chief operating officer member board directors bank senior deputy governor oversees bank strategic planning operations shares responsibility conduct monetary policy member bank gov,-0.008094203
Bank of Canada Issues $5 and $10 Polymer Bank Notes,2013-11-07,bank canada announced entry circulation new polymer bank notes starting today final two notes new polymer frontiers series available financial institutions across canada bank canada governor stephen s. poloz launched note canadian space agency saint-hubert quebec joined chris hadfield retired canadian astronaut former commander international space station note launched event held simultaneously vancouver train station senior deputy governor tiff macklem via rail canada president chief executive ,0.047371842
