,date,text
Central banks and BIS publish first central bank digital currency (CBDC) report laying out key requirements,2020-10-09,"A group of seven central banks together with the Bank for International Settlements (BIS) today published a report identifying the foundational principles necessary for any publicly available CBDCs to help central banks meet their public policy objectives.
The report, Central bank digital currencies: foundational principles and core features, was compiled by the Bank of Canada, the Bank of England, the Bank of Japan, the European Central Bank, the Federal Reserve, Sveriges Riksbank, the Swiss National Bank and the BIS, and highlights three key principles for a CBDC:
The group of central banks will continue to work together on CBDCs, without prejudging any decision on whether or not to introduce CBDCs in their jurisdictions.
“This report is a real step forward for this group of central banks in agreeing the common principles and identifying the key features we believe would be needed for a workable CBDC system. As well as helping central banks to meet their public policy objectives, the report provides a useful framework for how central banks provide money and support payment systems in an ever-evolving digital world. This group of central banks has built a strong international consensus which will help light the way as we each explore the case and design for CBDCs in our own jurisdictions,” said working group co-chair Sir Jon Cunliffe, Deputy Governor of the Bank of England and Chair of the Committee on Payments and Market Infrastructures.
Based on these principles, the group has identified the core features of any future CBDC system, which must be:
“A design that delivers these features can promote more resilient, efficient, inclusive and innovative payments. Although there will be no ‘one size fits all’ CBDC due to national priorities and circumstances, our report provides a springboard for further development of workable CBDCs,” said working group co-chair Benoît Cœuré, Head of the BIS Innovation Hub.
Bank of Canada Governor Tiff Macklem said: “International cooperation is essential to improve the quality of CBDCs and to ensure that they also support efficient and low-cost cross-border payments. We still have a lot of work to do before deciding to issue a CBDC in Canada. As we investigate this, we welcome engagement from the private sector and civil society since our CBDC would have to meet the needs of all Canadians.”
Further development of CBDCs requires a commitment to practical policy analysis and applied technical experimentation. While this has already started, the speed of innovation in payments and money-related technologies requires the prioritisation of collaborative experimentation.
“While technology is changing the way we pay, central banks have a duty to safeguard people’s trust in our money. Central banks must complement their domestic efforts with close cooperation to guide the exploration of central bank digital currencies to identify reliable principles and encourage innovation. The present report is a convincing proof of this international cooperation,” said Christine Lagarde, President of the European Central Bank, who chairs the group of central bank governors responsible for the report.
Future activities will include exploring other open questions around CBDCs and the challenges of cross-border payments, as well as continuing outreach domestically and with other central banks to foster informed dialogue on key issues. Work by the BIS Innovation Hub, which serves the broader central banking community, will contribute to this objective."
Bank of Canada Senior Deputy Governor Carolyn A. Wilkins will not seek second term,2020-09-17,"The Board of Directors of the Bank of Canada announced today that Senior Deputy Governor Carolyn A. Wilkins informed them that she will not seek a second term. Her current term runs to May 1, 2021. The Board will initiate a search process to select her successor. 
“It has been a great honour and privilege to serve Canadians in this role, and throughout my 20 years at the Bank,” Senior Deputy Governor Wilkins said. “My time at the Bank has been the most fulfilling period of my career – a testament to the many dedicated and talented colleagues, both at home and abroad, that I have been fortunate to work with.”
The Senior Deputy Governor thanked past and present members of the Bank’s Board of Directors, former Governor Stephen Poloz, and current Governor Tiff Macklem for the confidence that they have shown in her over the years.
“Building and carrying out a shared vision for the Bank with Governor Poloz has been a professional highlight. I’ve also enjoyed working closely again with Governor Macklem. The Bank is in good hands.”
The Board’s lead independent director, Claire Kennedy, said the Senior Deputy Governor has served the Bank and Canadians with distinction. “Through her leadership and innovative approach to the role of Senior Deputy Governor, Carolyn has made an invaluable contribution to the economic and financial welfare of all Canadians. Most recently, she led the development and implementation of the Bank’s asset purchase programs. These programs have helped Canadians bridge a very difficult period and are supporting the economic recovery.”
The following is the process to appoint a new Senior Deputy Governor:"
"Bank of Canada maintains commitment to current level of policy rate, continues program of quantitative easing",2020-09-09,"The Bank of Canada today maintained its target for the overnight rate at the effective lower bound of ¼ percent. The Bank Rate is correspondingly ½ percent and the deposit rate is ¼ percent. The Bank is also continuing its quantitative easing (QE) program, with large-scale asset purchases of at least $5 billion per week of Government of Canada bonds.
Both the global and Canadian economies are evolving broadly in line with the scenario in the July Monetary Policy Report (MPR), with activity bouncing back as countries lift containment measures. The Bank continues to expect this strong reopening phase to be followed by a protracted and uneven recuperation phase, which will be heavily reliant on policy support. The pace of the recovery remains highly dependent on the path of the COVID-19 pandemic and the evolution of social distancing measures required to contain its spread.
The rebound in the United States has been stronger than expected, while economic performance among emerging markets has been more mixed. Global financial conditions have remained accommodative. Although prices for some commodities have firmed, oil prices remain weak.
In Canada, real GDP fell by 11.5 percent (39 percent annualized) in the second quarter, resulting in a decline of just over 13 percent in the first half of the year, largely in line with the Bank’s July MPR central scenario. All components of aggregate demand weakened, as expected.
As the economy reopens, the bounce-back in activity in the third quarter looks to be faster than anticipated in July. Economic activity has been supported by government programs to replace incomes and subsidize wages. Core funding markets are functioning well, and this has led to a decline in the use of the Bank’s short-term liquidity programs. Monetary policy is working to support household spending and business investment by making borrowing more affordable.
Household spending rebounded sharply over the summer, with stronger-than-expected goods consumption and housing activity largely reflecting pent-up demand. There has also been a large but uneven rebound in employment. Exports are recovering in response to strengthening foreign demand, but are still well below pre-pandemic levels. Business confidence and investment remain subdued. While recent data during the reopening phase is encouraging, the Bank continues to expect the recuperation phase to be slow and choppy as the economy copes with ongoing uncertainty and structural challenges.
CPI inflation is close to zero, with downward pressure from energy prices and travel services, and is expected to remain well below target in the near term. Measures of core inflation are between 1.3 percent and 1.9 percent, reflecting the large degree of economic slack, with the core measure most influenced by services prices showing the weakest growth.
As the economy moves from reopening to recuperation, it will continue to require extraordinary monetary policy support. The Governing Council will hold the policy interest rate at the effective lower bound until economic slack is absorbed so that the 2 percent inflation target is sustainably achieved. To reinforce this commitment and keep interest rates low across the yield curve, the Bank is continuing its large-scale asset purchase program at the current pace. This QE program will continue until the recovery is well underway and will be calibrated to provide the monetary policy stimulus needed to support the recovery and achieve the inflation objective.
The next scheduled date for announcing the overnight rate target is October 28, 2020. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR at the same time."
Bank of Canada launches public consultation on inflation targeting,2020-08-24,
Bank of Canada designates Interac e‑Transfer as a prominent payment system,2020-08-10,"Bank of Canada Governor Tiff Macklem has designated Interac e‑Transfer ® as a prominent payment system under the Payment Clearing and Settlement Act, effective August 10, 2020. This brings Bank oversight to this payment system and ensures it remains a safe, viable and effective method of payment for Canadians.
The Bank regularly monitors the evolution of new and existing payment systems to determine whether they warrant oversight because of their potential to cause systemic or payment system risk. Designating Interac e‑Transfer as a prominent payment system means it must adhere to the Bank's risk management standards, including having risk controls in place to ensure continued resilience.
Interac e‑Transfer has become central to the Canadian payments system. In the 2019 fiscal year, the Interac system facilitated over 486 million transactions, totalling $169 billion. A disruption or failure of the Interac e‑Transfer system could cause a significant adverse effect on economic activity in Canada, potentially leading to a general loss of confidence in the overall Canadian payments system.
The Interac e‑Transfer system is operated by Interac Corp. Launched in 2003, Interac e‑Transfer enables individuals and businesses with a Canadian bank account at participating financial institutions to electronically send or receive payments within Canada—24 hours a day, 7 days a week."
"Bank of Canada publishes its 2021 schedule for policy interest rate announcements and other major publications, makes change to effective date of rate decisions",2020-07-30,"The Bank of Canada today published its 2021 schedule for policy interest rate announcements and the release of the quarterly Monetary Policy Report. It also reconfirmed the scheduled interest rate announcement dates for the remainder of this year.In addition, the Bank published its schedule for the release of the Business Outlook Survey and the Canadian Survey of Consumer Expectations.The scheduled dates for the interest rate announcements from September 2020 through December 2020 are reconfirmed as follows:
The scheduled dates for the interest rate announcements for 2021 are as follows:
*Monetary Policy Report publishedThe Monetary Policy Report will be published concurrently with the January, April, July and October rate announcements.Starting in 2021, the target for the overnight rate will take effect on the business day following each rate announcement. This differs from the Bank’s current approach, whereby Governing Council rate decisions apply immediately upon release. The Bank is also reviewing the publication time of its interest rate announcements, which is currently 10:00 (ET). Any changes resulting from this review will be communicated in due course.The scheduled dates for the release of the 2021 issues of the Business Outlook Survey and the Canadian Survey of Consumer Expectations are as follows:
All survey releases will take place at 10:30 (ET)."
"Bank of Canada will maintain current level of policy rate until inflation objective is achieved, continues program of quantitative easing",2020-07-15,"The Bank of Canada today maintained its target for the overnight rate at the effective lower bound of ¼ percent. The Bank Rate is correspondingly ½ percent and the deposit rate is ¼ percent. The Bank is also continuing its quantitative easing (QE) program, with large-scale asset purchases of at least $5 billion per week of Government of Canada bonds. The Bank’s short-term liquidity programs announced since March to improve market functioning are having their intended effect and, with reduced market strains, their use has declined. The provincial and corporate bond purchase programs will continue as announced. The Bank stands ready to adjust its programs if market conditions warrant.
While economies are re-opening, the global and Canadian outlook is extremely uncertain, given the unpredictability of the course of the COVID-19 pandemic. Reflecting this, the Bank’s July Monetary Policy Report (MPR) presents a central scenario for global and Canadian growth rather than the usual economic projections. The central scenario is based on assumptions outlined in the MPR, including that there is no widespread second wave of the virus.
After a sharp drop in the first half of 2020, global economic activity is picking up. This return to growth reflects the relaxation of necessary containment measures put in place to slow the spread of the coronavirus, combined with extraordinary fiscal and monetary policy support. As a result, financial conditions have improved. The prices of most commodities, including oil, have risen from very low levels. In the central scenario, the global economy overall shrinks by about 5 percent in 2020 and then grows by around 5 percent on average in 2021 and 2022. The timing and pace of the recovery varies among regions and could be hampered by a resurgence of infections and the limited capacity of some countries to contain the virus or support their economies.
The Canadian economy is starting to recover as it re-opens from the shutdowns needed to limit the virus spread. With economic activity in the second quarter estimated to have been 15 percent below its level at the end of 2019, this is the deepest decline in economic activity since the Great Depression, but considerably less severe than the worst scenarios presented in the April MPR. Decisive and necessary fiscal and monetary policy actions have supported incomes and kept credit flowing, cushioning the fall and laying the foundation for recovery. Since early June, the government has announced additional support programs, and extended others.
There are early signs that the reopening of businesses and pent-up demand are leading to an initial bounce-back in employment and output. In the central scenario, roughly 40 percent of the collapse in the first half of the year is made up in the third quarter. Subsequently, the Bank expects the economy’s recuperation to slow as the pandemic continues to affect confidence and consumer behaviour and as the economy works through structural challenges. As a result, in the central scenario, real GDP declines by 7.8 percent in 2020 and resumes with growth of 5.1 percent in 2021 and 3.7 percent in 2022. The Bank expects economic slack to persist as the recovery in demand lags that of supply, creating significant disinflationary pressures.
CPI inflation is close to zero, pulled down by sharp declines in components such as gasoline and travel services. The Bank’s core measures of inflation have drifted down, although by much less than the CPI, and are now between 1.4 and 1.9 percent. Inflation is expected to remain weak before gradually strengthening toward 2 percent as the drag from low gas prices and other temporary effects dissipates and demand recovers, reducing economic slack. 
As the economy moves from reopening to recuperation, it will continue to require extraordinary monetary policy support. The Governing Council will hold the policy interest rate at the effective lower bound until economic slack is absorbed so that the 2 percent inflation target is sustainably achieved. In addition, to reinforce this commitment and keep interest rates low across the yield curve, the Bank is continuing its large-scale asset purchase program at a pace of at least $5 billion per week of Government of Canada bonds. This QE program is making borrowing more affordable for households and businesses and will continue until the recovery is well underway. To support the recovery and achieve the inflation objective, the Bank is prepared to provide further monetary stimulus as needed.
The next scheduled date for announcing the overnight rate target is September 9, 2020. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR on October 28, 2020."
Bank of Canada partners with the Bank for International Settlements to launch innovation centre,2020-06-30,"The Bank for International Settlements (BIS) and the Bank of Canada announced today they will be launching a BIS Innovation Hub centre to advance fintech innovation within the central banking community. The centre will open in Toronto within two years and is one of four locations scheduled to open in North America and Europe.
This partnership will advance the Bank’s understanding of the digital economy and the technological transformation of financial services. It builds on the Bank’s existing research and collaboration with partners in the central bank and technology communities on digital currencies and fintech.
“We’re proud to host a BIS innovation centre in Toronto and to strengthen our collaboration with other central banks and the private sector on digital technologies,” said Bank of Canada Governor Tiff Macklem. “This partnership will allow the Bank to continue its work on behalf of Canadians to explore how technology will shape the future of our economy and financial system.”
 “Toronto is an ideal location for a regional BIS innovation centre,” said Eric Santor, Advisor to the Governor on Digitalization. “The centre will be well-placed to identify key technology trends and contribute to the development of innovative solutions to benefit and enhance the global financial system.”"
Bank of Canada becomes administrator of Canadian Overnight Repo Rate Average,2020-06-15,"The Bank of Canada is now the administrator of the Canadian Overnight Repo Rate Average (CORRA) and will post today the first rate calculated using an improved methodology. The Bank publishes this important Canadian interest rate benchmark on its website at no cost and as a public good. The Bank is also committed to ensuring that CORRA is:
“The publication of CORRA by the Bank today is an important milestone in the collaborative efforts between the Canadian financial industry and the Bank to reform interest rate benchmarks and make financial markets even safer,” said Bank of Canada Deputy Governor Toni Gravelle. “We expect that over time CORRA will become the dominant Canadian benchmark used across a wide range of financial products.”
Information on the calculation methodology, publishing process, terms of use and governance structure for CORRA is available on the Bank website, along with a historical data series. CORRA is still available to users through various data distributors and existing infrastructure.
To prepare for this new role, the Bank worked closely with the Investment Industry Regulatory Organization of Canada, which provides the data that the Bank is using to calculate CORRA. The Bank also worked closely with industry participants through the Canadian Alternative Reference Rate Working Group and its subgroups. 
Market inquiries:
Senior DirectorFinancial Markets DepartmentBank of Canada613‑782‑7768
Operations and Policy AdvisorFinancial Markets DepartmentBank of Canada613‑782‑7172
Media inquiries:
 Bank of Canada 613‑782‑8782"
"Bank of Canada maintains target for the overnight rate, scales back some market operations as financial conditions improve",2020-06-03,"The Bank of Canada today maintained its target for the overnight rate at the effective lower bound of ¼ percent. The Bank Rate is correspondingly ½ percent and the deposit rate is ¼ percent.
Incoming data confirm the severe impact of the COVID-19 pandemic on the global economy. This impact appears to have peaked, although uncertainty about how the recovery will unfold remains high. Massive policy responses in advanced economies have helped to replace lost income and cushion the effect of economic shutdowns. Financial conditions have improved, and commodity prices have risen in recent weeks after falling sharply earlier this year. Because different countries’ containment measures will be lifted at different times, the global recovery likely will be protracted and uneven.  
In Canada, the pandemic has led to historic losses in output and jobs. Still, the Canadian economy appears to have avoided the most severe scenario presented in the Bank’s April Monetary Policy Report (MPR). The level of real GDP in the first quarter was 2.1 percent lower than in the fourth quarter of 2019. This GDP reading is in the middle of the Bank’s April monitoring range and reflects the combined impact of falling oil prices and widespread shutdowns. The level of real GDP in the second quarter will likely show a further decline of 10-20 percent, as continued shutdowns and sharply lower investment in the energy sector take a further toll on output. Decisive and targeted fiscal actions, combined with lower interest rates, are buffering the impact of the shutdown on disposable income and helping to lay the foundation for economic recovery. While the outlook for the second half of 2020 and beyond remains heavily clouded, the Bank expects the economy to resume growth in the third quarter.
CPI inflation has decreased to near zero, as anticipated in the April MPR, mainly due to lower prices for gasoline. The Bank expects temporary factors to keep CPI inflation below the target band in the near term. The Bank’s core measures of inflation have drifted down, although by much less than the CPI, and are now between 1.6 and 2 percent.
The Bank’s programs to improve market function are having their intended effect. After significant strains in March, short-term funding conditions have improved. Therefore, the Bank is reducing the frequency of its term repo operations to once per week, and its program to purchase bankers’ acceptances to bi-weekly operations. The Bank stands ready to adjust these programs if market conditions warrant. Meanwhile, its other programs to purchase federal, provincial, and corporate debt are continuing at their present frequency and scope.
As market function improves and containment restrictions ease, the Bank’s focus will shift to supporting the resumption of growth in output and employment. The Bank maintains its commitment to continue large-scale asset purchases until the economic recovery is well underway. Any further policy actions would be calibrated to provide the necessary degree of monetary policy accommodation required to achieve the inflation target.
Tiff Macklem assumes his role as the Bank’s tenth Governor today. He participated as an observer in Governing Council’s deliberations for this policy interest rate decision and endorses the rate decision and measures announced in this press release.
The next scheduled date for announcing the overnight rate target is July 15, 2020. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR at the same time."
Tiff Macklem Appointed Governor of the Bank of Canada,2020-05-01,"The Directors of the Bank of Canada, appointed under Section 9 of the Bank of Canada Act, today announced that they have appointed Tiff Macklem as Governor of the Bank of Canada for a seven-year term, effective 3 June 2020. Mr. Macklem will succeed Stephen S. Poloz, who is leaving the Bank of Canada on 2 June 2020.
""After pursuing an exhaustive domestic and international selection process for this crucial role, I'm delighted to say that Tiff Macklem has the exceptional qualities to fulfil this role,” said Claire Kennedy, Chair of the Special Committee of the Board of Directors. ""Tiff has deep knowledge of monetary policy and financial stability issues, a proven crisis management track record, and extensive senior leadership experience. We are confident Tiff will make an outstanding contribution to promoting the economic and financial welfare of Canada, and to upholding the Bank’s exemplary reputation as a leading central bank.”
A native of Montréal, Quebec, Mr. Macklem has been Dean of the Rotman School of Management at the University of Toronto since July 2014. Prior to that, he served as the Senior Deputy Governor at the Bank of Canada between July 2010 and May 2014. Before his appointment as Senior Deputy Governor, Mr. Macklem was Associate Deputy Minister at the Department of Finance, serving as Canada's representative at the G7, G20 and Financial Stability Board. Mr. Macklem first joined the Bank in 1984 and occupied increasingly senior positions until he was appointed Advisor to the Governor in August 2003. In 2003-4, he was seconded to the Department of Finance, before returning to the Bank as Deputy Governor in December 2004. Mr. Macklem graduated from Queen's University in 1983 with a bachelor's degree in economics, and completed a master’s degree and a PhD in economics from the University of Western Ontario.
On behalf of the directors, Ms. Kennedy thanked Governor Poloz for his dedicated service and his leadership in promoting the economic and financial well being of Canada throughout his tenure. She also thanked him for the important contributions he has made to the global policy dialogue, which are being brought to bear in the current challenging circumstances. On behalf of Canadians, the Board expressed its appreciation for Governor Poloz's distinguished career at the Bank of Canada, the legacy of which will continue to serve our country well."
Bank of Canada maintains overnight rate target and unveils new market operations,2020-04-15,"The Bank of Canada today maintained its target for the overnight rate at ¼ percent, which the Bank considers its effective lower bound. The Bank Rate is correspondingly ½ percent and the deposit rate is ¼ percent. The Bank also announced new measures to provide additional support to Canada’s financial system.
The necessary efforts to contain the COVID-19 pandemic have caused a sudden and deep contraction in economic activity and employment worldwide. In financial markets, this has driven a flight to safety and a sharp repricing of a wide range of assets. It has also pushed down prices for commodities, especially oil. In this environment, the Canadian dollar has depreciated since January, although by less than many other currencies. The sudden halt in global activity will be followed by regional recoveries at different times, depending on the duration and severity of the outbreak in each region. This means that the global economic recovery, when it comes, could be protracted and uneven.
The Canadian economy was in a solid position ahead of the COVID-19 outbreak, but has since been hit by widespread shutdowns and lower oil prices. One early measure of the extent of the damage was an unprecedented drop in employment in March, with more than one million jobs lost across Canada. Many more workers reported shorter hours, and by early April some six million Canadians had applied for the Canada Emergency Response Benefit.
The outlook is too uncertain at this point to provide a complete forecast. However, Bank analysis of alternative scenarios suggests the level of real activity was down 1-3 percent in the first quarter of 2020, and will be 15-30 percent lower in the second quarter than in fourth-quarter 2019. CPI inflation is expected to be close to 0 percent in the second quarter of 2020. This is primarily due to the transitory effects of lower gasoline prices.
The pandemic-driven contraction has prompted decisive policy action to support individuals and businesses and to lay the foundation for economic recovery once containment measures start to ease. Fiscal programs, designed to expand according to the magnitude of the shock, will help individuals and businesses weather this shutdown phase of the pandemic, and support incomes and confidence leading into the recovery. These programs have been complemented by actions taken by other federal agencies and provincial governments.
For its part, the Bank of Canada has taken measures to improve market function so that monetary policy actions have their intended effect on the economy. This helps ensure that households and businesses continue to have access to the credit they need to bridge this difficult time, and that lower interest rates find their way to ultimate borrowers. The Bank has lowered its target for the overnight rate 150 basis points over the last three weeks, to its effective lower bound. It has also conducted lending operations to financial institutions and asset purchases in core funding markets amounting to around $200 billion.
These actions have served to ease market dysfunction and help keep credit channels open, although they remain strained. The next challenge for markets will be managing increased demand for near-term financing by federal and provincial governments, and businesses and households. The situation calls for special actions by the central bank. To this end, the Bank is furthering its efforts with several important steps.
Under its previously-announced program, the Bank will continue to purchase at least $5 billion in Government of Canada securities per week in the secondary market, and will increase the level of purchases as required to maintain proper functioning of the government bond market. Also, the Bank is temporarily increasing the amount of Treasury Bills it acquires at auctions to up to 40 percent, effective immediately.
The Bank is also announcing today the development of a new Provincial Bond Purchase Program of up to $50 billion, to supplement its Provincial Money Market Purchase Program. Further, the Bank is announcing a new Corporate Bond Purchase Program, in which the Bank will acquire up to a total of $10 billion in investment grade corporate bonds in the secondary market. Both of these programs will be put in place in the coming weeks. Finally, the Bank is further enhancing its term repo facility to permit funding for up to 24 months.
These measures will work in combination to ease pressure on Canadian borrowers. As containment restrictions are eased and economic activity resumes, fiscal and monetary policy actions will help underpin confidence and stimulate spending by consumers and businesses to restore growth. The Bank’s Governing Council stands ready to adjust the scale or duration of its programs if necessary. All the Bank’s actions are aimed at helping to bridge the current period of containment and create the conditions for a sustainable recovery and achievement of the inflation target over time.
The next scheduled date for announcing the overnight rate target is June 3, 2020. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR on July 15, 2020."
Bank of Canada lowers overnight rate target to ¼ percent,2020-03-27,"The Bank of Canada today lowered its target for the overnight rate by 50 basis points to ¼ percent. The Bank Rate is correspondingly ½ percent and the deposit rate is ¼ percent. This unscheduled rate decision brings the policy rate to its effective lower bound and is intended to provide support to the Canadian financial system and the economy during the COVID-19 pandemic.
The spread of COVID-19 is having serious consequences for Canadians and for the economy, as is the abrupt decline in world oil prices. The pandemic-driven contraction has prompted decisive fiscal policy action in Canada to support individuals and businesses and to minimize any permanent damage to the structure of the economy.
The Bank is playing an important complementary role in this effort. Its interest rate setting cushions the impact of the shocks by easing the cost of borrowing. Its efforts to maintain the functioning of the financial system are helping keep credit available to people and companies. The intent of our decision today is to support the financial system in its central role of providing credit in the economy, and to lay the foundation for the economy’s return to normalcy.
The Bank’s efforts have been primarily focused on ensuring the availability of credit by providing liquidity to help markets continue to function.  To promote credit availability, the Bank has expanded its various term repo facilities. To preserve market function, the Bank is conducting Government of Canada bond buybacks and switches, purchases of Canada Mortgage Bonds and banker’s acceptances, and purchases of provincial money market instruments. All these additional measures have been detailed on the Bank’s website and will be extended or augmented as needed.
Today, the Bank is launching two new programs.
First, the Commercial Paper Purchase Program (CPPP) will help to alleviate strains in short-term funding markets and thereby preserve a key source of funding for businesses. Details of the program will be available on the Bank’s web site.
Second, to address strains in the Government of Canada debt market and to enhance the effectiveness of all other actions taken so far, the Bank will begin acquiring Government of Canada securities in the secondary market. Purchases will begin with a minimum of $5 billion per week, across the yield curve. The program will be adjusted as conditions warrant, but will continue until the economic recovery is well underway. The Bank’s balance sheet will expand as a result of these purchases.
The Bank is closely monitoring economic and financial conditions, in coordination with other G7 central banks and fiscal authorities, and will update its outlook in mid-April. As the situation evolves, Governing Council stands ready to take further action as required to support the Canadian economy and financial system and to keep inflation on target.
The next scheduled date for announcing the overnight rate target is April 15, 2020. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR at the same time."
Bank of Canada lowers overnight rate target to ¾ percent,2020-03-13,"The Bank of Canada today lowered its target for the overnight rate by 50 basis points to ¾ percent, effective Monday, March 16, 2020. The Bank Rate is correspondingly 1 percent and the deposit rate is ½ percent. This unscheduled rate decision is a proactive measure taken in light of the negative shocks to Canada’s economy arising from the COVID-19 pandemic and the recent sharp drop in oil prices.
It is clear that the spread of the coronavirus is having serious consequences for Canadian families, and for Canada’s economy. In addition, lower prices for oil, even since our last scheduled rate decision on March 4, will weigh heavily on the economy, particularly in energy intensive regions.
The Bank will provide a full update of its outlook for the Canadian and global economies on April 15. As the situation evolves, Governing Council stands ready to adjust monetary policy further if required to support economic growth and keep inflation on target.
The Bank has also taken steps to ensure that the Canadian financial system has sufficient liquidity. These additional measures have been announced in separate notices on the Bank’s website. The Bank is closely monitoring economic and financial conditions, in coordination with other G7 central banks and fiscal authorities.
The next scheduled date for announcing the overnight rate target is April 15, 2020. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR at the same time."
Bank of Canada announces members of Advisory Council for next $5 bank note,2020-03-09,
Bank of Canada lowers overnight rate target to 1 ¼ percent,2020-03-04,"The Bank of Canada today lowered its target for the overnight rate by 50 basis points to 1 ¼ percent. The Bank Rate is correspondingly 1 ½ percent and the deposit rate is 1 percent.
While Canada’s economy has been operating close to potential with inflation on target, the COVID-19 virus is a material negative shock to the Canadian and global outlooks, and monetary and fiscal authorities are responding.
Before the outbreak, the global economy was showing signs of stabilizing, as the Bank had projected in its January Monetary Policy Report (MPR). However, COVID-19 represents a significant health threat to people in a growing number of countries. In consequence, business activity in some regions has fallen sharply and supply chains have been disrupted. This has pulled down commodity prices and the Canadian dollar has depreciated. Global markets are reacting to the spread of the virus by repricing risk across a broad set of assets, making financial conditions less accommodative. It is likely that as the virus spreads, business and consumer confidence will deteriorate, further depressing activity.
In Canada, GDP growth slowed to 0.3 percent during the fourth quarter of 2019, in line with the Bank’s forecast, although its composition was different. Consumption was stronger than expected, supported by healthy labour income growth. Residential investment continued to grow, albeit at a more moderate pace than earlier in the year. Meanwhile, both business investment and exports weakened.
It is becoming clear that the first quarter of 2020 will be weaker than the Bank had expected. The drop in Canada’s terms of trade, if sustained, will weigh on income growth. Meanwhile, business investment does not appear to be recovering as was expected following positive trade policy developments. In addition, rail line blockades, strikes by Ontario teachers, and winter storms in some regions are dampening economic activity in the first quarter.
CPI inflation in January was stronger than expected, due to temporary factors. Core measures of inflation all remain around 2 percent, consistent with an economy that has been operating close to potential.
In light of all these developments, the outlook is clearly weaker now than it was in January. As the situation evolves, Governing Council stands ready to adjust monetary policy further if required to support economic growth and keep inflation on target. While markets continue to function well, the Bank will continue to ensure that the Canadian financial system has sufficient liquidity.
The Bank continues to closely monitor economic and financial conditions, in coordination with other G7 central banks and fiscal authorities.
The next scheduled date for announcing the overnight rate target is April 15, 2020. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR at the same time."
Bank of Canada Announces Scholarship Recipients,2020-02-19,"The Bank of Canada is pleased to announce the 2019-2020 recipients of its scholarship awards for women, Indigenous students and students with disabilities. The Bank recognizes that a diverse and talented workforce can foster innovative thinking that results in better policy outcomes for Canadians. The scholarship programs reflect the Bank’s commitment to the diversity of people, ideas and disciplines by encouraging young Canadians to consider employment in fields related to the work of the central bank and assisting them in furthering their education.
The successful applicants in 2019–20 are as follows:"
Bank of Canada to begin publishing Canadian Overnight Repo Rate Average in June,2020-02-18,"The Bank of Canada will take over the responsibility for publishing the Canadian Overnight Repo Rate Average (CORRA), effective Monday, June 15, 2020.
Beginning on this date, the Bank will provide this key interest rate benchmark for financial markets, at no cost, and make it available on the Bank’s website as a public good.
CORRA for a given day will be published to the Bank’s website on the morning of the following business day. This means that the Bank’s first publication of CORRA on June 15 will be the rate for Friday, June 12, 2020.
As announced in July 2019, the Bank will become the administrator for CORRA, taking over from the current administrator, Refinitiv Benchmark Services (UK) Limited.
Today, the Bank also published the methodology it will use to calculate CORRA, alongside an illustrative historical time series. This time series is for informational purposes only. It does not replace previously published CORRAs and should not be used for purposes other than research and comparative analysis.
The Bank is committed to ensuring CORRA is:
The Bank has worked closely with the Investment Industry Regulatory Organization of Canada (IIROC) as well as industry participants through the Canadian Alternative Reference Rate Working Group (CARR) and its subgroups to improve the methodology for calculating CORRA and to develop its publishing process. A comprehensive governance structure that incorporates regular review of the calculation methodology will be put in place. The Bank will also work closely with Refinitiv and other data distributors to ensure a smooth transition and continued access to data.
 Senior Director Financial Markets Department Bank of Canada 613‑782‑7768
 Director Financial Markets Department Bank of Canada 613‑782‑7172
 Bank of Canada 613‑782‑8782"
University of British Columbia crowned National Champion of The Governor’s Challenge,2020-02-10,"The University of British Columbia has won the Bank of Canada’s fifth annual Governor’s Challenge, a national student competition in which teams simulate the role of advisor to the Bank’s Governing Council. The winners were announced following the final round in Ottawa on Saturday, February 8.
Governor Stephen S. Poloz, who awarded the championship trophy, congratulated the University of British Columbia and encouraged all the participants to continue their studies in economics and see where they can make their contribution. He told the finalists, “Whether your career takes you to private industry or public service, remember that economics is, above all, about people. Working in a profession where you get the opportunity to help improve the lives of your fellow citizens is a noble calling.”
The Governor’s Challenge invites the next generation of Canadian economists to develop a deeper understanding of the Canadian economy and the Bank’s role in it. Since the first competition, over 30 participants have joined the Bank — proving the initiative’s value as an opportunity for young people to contribute to the economic well-being of Canadians.
Five teams competed in the final round, each one giving a presentation on the economic outlook for Canada and making a monetary policy recommendation to a panel of senior central bank officials.
The judges for the final round were Eric Santor, Advisor to the Bank of Canada Governor; Harriet Jackson, Deputy Managing Director of the Bank of Canada’s International Economic Analysis Department; and Sylvain Leduc, Executive Vice President and Director of Research, Federal Reserve Bank of San Francisco.
Correction: This release has been updated to clarify that Jesse Perla (not Michael Devereux) was one of the faculty advisors for the team from the University of British Columbia."
